officename,pincode,Deliverystatus,Taluk,Districtname,statename
Dandepalli S.O,504206,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Jainoor S.O,504313,Delivery,Utnoor,Adilabad,ANDHRA PRADESH
Mancherial H.O,504208,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Sirpur Khagaznagar S.O,504296,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Adilabad H.O,504001,Delivery,Adilabad,Adilabad,ANDHRA PRADESH
Kuntala S.O,504109,Delivery,Mudhole,Adilabad,ANDHRA PRADESH
Narsapur S.O (Adilabad),504104,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
Rebbena S.O,504292,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Wankidi S.O,504295,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Basar S.O (Adilabad),504101,Delivery,Mudhole,Adilabad,ANDHRA PRADESH
Chirrakunta S.O,504294,Delivery,Asifabad,Adilabad,ANDHRA PRADESH
Donabanda S.O,504207,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Echoda S.O,504307,Delivery,Boath,Adilabad,ANDHRA PRADESH
Nirmal S.O (Adilabad),504106,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
Ootnur S.O,504311,Delivery,Utnoor,Adilabad,ANDHRA PRADESH
Ramakrishnapur S.O,504301,Delivery,Mandamarri,Adilabad,ANDHRA PRADESH
RGU IIIT Campus Basar S.O,504107,Delivery,Mudhole,Adilabad,ANDHRA PRADESH
Buchannapet S.O,506221,Delivery,Buchannapet,Warangal,ANDHRA PRADESH
Chelpur S.O,506168,Delivery,Ghanpur (Mulug),Warangal,ANDHRA PRADESH
Mogullapalli S.O,506366,Delivery,Mogullapalli,Warangal,ANDHRA PRADESH
Nadikuda S.O,506391,Delivery,So,Warangal,ANDHRA PRADESH
Pembarthy S.O,506201,Delivery,Jangaon,Warangal,ANDHRA PRADESH
Chityal S.O,506356,Delivery,Chityal,Warangal,ANDHRA PRADESH
D H Suthoon S.O,506011,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
Devaruppal S.O,506302,Delivery,Devaruppula,Warangal,ANDHRA PRADESH
Eturunagaram S.O,506165,Delivery,Eturunagaram,Warangal,ANDHRA PRADESH
Ghanpur (Mulug) S.O,506345,Delivery,Ghanpur (mulug),Warangal,ANDHRA PRADESH
Ippaguda S.O,506252,Delivery,Ghanpur Stn,Warangal,ANDHRA PRADESH
Parkal H.O,506164,Delivery,Parkal,Warangal,ANDHRA PRADESH
Raghunath Pally S.O,506244,Delivery,Raghunathpalle,Warangal,ANDHRA PRADESH
Hasanparthy S.O,506371,Delivery,Hasanparthy,Warangal,ANDHRA PRADESH
Kazipet S.O,506003,Delivery,Warangal,Warangal,ANDHRA PRADESH
Regonda S.O,506348,Delivery,Regonda,Warangal,ANDHRA PRADESH
Chiryal S.O,506223,Delivery,Chiryal,Warangal,ANDHRA PRADESH
Ghanpur Station S.O,506143,Delivery,Ghanpur Station,Warangal,ANDHRA PRADESH
Govindaraopet S.O,506344,Delivery,Govindaraopet,Warangal,ANDHRA PRADESH
Hanamkonda H.O,506001,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
Maddur S.O (Warangal),506367,Delivery,Maddur,Warangal,ANDHRA PRADESH
Marrimuchal S.O,506355,Delivery,Cherial,Warangal,ANDHRA PRADESH
Mulug S.O,506343,Delivery,Mulug,Warangal,ANDHRA PRADESH
Shayampet S.O,506319,Delivery,Shayampet,Warangal,ANDHRA PRADESH
Atmakur S.O (Warangal),506342,Delivery,Atmakur,Warangal,ANDHRA PRADESH
Bhupalapalli S.O,506169,Delivery,Bhupalapalli,Warangal,ANDHRA PRADESH
Chagal S.O,506301,Delivery,Ghanpur Station,Warangal,ANDHRA PRADESH
Jangalapally S.O,506352,Delivery,Mulug,Warangal,ANDHRA PRADESH
Madikonda S.O,506142,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
Malkapur S.O (Warangal),506145,Delivery,Ghanpur Stn,Warangal,ANDHRA PRADESH
Waddepalli S.O,506370,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
Jangaon H.O,506167,Delivery,Jangaon,Warangal,ANDHRA PRADESH
K C Colony S.O,506015,Delivery,Hasanparthy,Warangal,ANDHRA PRADESH
Mallampalli S.O,506349,Delivery,Mulug,Warangal,ANDHRA PRADESH
Peddapendyal S.O,506151,Delivery,Dharmasagar,Warangal,ANDHRA PRADESH
R E College S.O,506004,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
Abadighanpur S.O,506144,Delivery,Jangaon,Warangal,ANDHRA PRADESH
Kamalapur Town Ship S.O,506172,Delivery,Mangapet,Warangal,ANDHRA PRADESH
Vidyaranyapuri S.O,506009,Delivery,Hanamkonda,Warangal,ANDHRA PRADESH
KTPP S.O,506170,Delivery,Chelpur,Warangal,ANDHRA PRADESH
Mustial S.O,506224,Delivery,Cherial,Warangal,ANDHRA PRADESH
Pasra S.O,506347,Delivery,Govindaraopet,Warangal,ANDHRA PRADESH
Waddicherla Nawabpet S.O,506303,Delivery,Lingala Ghanpur,Warangal,ANDHRA PRADESH
Choppadandi S.O,505415,Delivery,Choppadandi,Karim Nagar,ANDHRA PRADESH
Gambhiraopet S.O,505304,Delivery,Gambhiraopet,Karim Nagar,ANDHRA PRADESH
Kodimial S.O,505501,Delivery,Kodimial,Karim Nagar,ANDHRA PRADESH
Nerella S.O,505454,Delivery,Dharmapuri,Karim Nagar,ANDHRA PRADESH
Pochampad Project Colony S.O,505455,Delivery,Jagtial,Karim Nagar,ANDHRA PRADESH
Shanigaram S.O,505473,Delivery,Koheda,Karim Nagar,ANDHRA PRADESH
Sirikonda S.O (Karim Nagar),505462,Delivery,Kathalapur,Karim Nagar,ANDHRA PRADESH
Kodurpaka S.O,505402,Delivery,Ellanthakunta,Karim Nagar,ANDHRA PRADESH
Lower Manair Dam Colony S.O,505527,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Muthyampet S.O,505331,Delivery,Mallapur,Karim Nagar,ANDHRA PRADESH
Rudrangi S.O,505307,Delivery,Chendurthi,Karim Nagar,ANDHRA PRADESH
Gangadhara S.O,505445,Delivery,Gangadhara,Karim Nagar,ANDHRA PRADESH
Karimnagar H.O,505001,Delivery,Karimnagar,Karim Nagar,ANDHRA PRADESH
Ramadugu S.O,505531,Delivery,Ramadugu,Karim Nagar,ANDHRA PRADESH
Thotapalli S.O (Karim Nagar),505530,Delivery,Bejjanki,Karim Nagar,ANDHRA PRADESH
Bejjanki S.O,505528,Delivery,Bejjanki,Karim Nagar,ANDHRA PRADESH
Gollapalli S.O (Karim Nagar),505532,Delivery,Gollapalli,Karim Nagar,ANDHRA PRADESH
Mustabad S.O (Karim Nagar),505404,Delivery,Mustabad,Karim Nagar,ANDHRA PRADESH
Nustulapur S.O,505481,Delivery,Thimmapur,Karim Nagar,ANDHRA PRADESH
Polas S.O,505529,Delivery,Jagtial,Karim Nagar,ANDHRA PRADESH
Raikal S.O,505460,Delivery,Raikal,Karim Nagar,ANDHRA PRADESH
Vemulawada S.O,505302,Delivery,Vemulawada,Karim Nagar,ANDHRA PRADESH
Endapalli S.O,505526,Delivery,Velgatur,Karim Nagar,ANDHRA PRADESH
Jagtial H.O,505327,Delivery,Jagtial,Karim Nagar,ANDHRA PRADESH
Kishandaspet S.O,505303,Delivery,Yellareddypet,Karim Nagar,ANDHRA PRADESH
Manakondur S.O,505469,Delivery,Manakondur,Karim Nagar,ANDHRA PRADESH
Medpalli S.O,505453,Delivery,Medpalli,Karim Nagar,ANDHRA PRADESH
Anthakpet S.O,505466,Delivery,Husnabad,Karim Nagar,ANDHRA PRADESH
Elgandal S.O,505401,Delivery,Karimnagar,Karim Nagar,ANDHRA PRADESH
Marripalli S.O,505403,Delivery,Chendurthy,Karim Nagar,ANDHRA PRADESH
Racherla Boppapur S.O,505305,Delivery,Yellareddypet,Karim Nagar,ANDHRA PRADESH
Sirsilla S.O,505301,Delivery,Sirsilla,Karim Nagar,ANDHRA PRADESH
Ailapur S.O,505330,Delivery,Koratla,Karim Nagar,ANDHRA PRADESH
Boenpalli S.O,505524,Delivery,Boenpalli,Karim Nagar,ANDHRA PRADESH
Husnabad S.O (Karim Nagar),505467,Delivery,Husnabad,Karim Nagar,ANDHRA PRADESH
Ibrahimpatnam S.O (Karim Nagar),505450,Delivery,Ibrahimpatnam,Karim Nagar,ANDHRA PRADESH
Kothapalli S.O (Karim Nagar),505451,Delivery,Karimnagar,Karim Nagar,ANDHRA PRADESH
Ambaripet S.O,505306,Delivery,Kathalapur,Karim Nagar,ANDHRA PRADESH
Dharmapuri S.O,505425,Delivery,Dharmapuri,Karim Nagar,ANDHRA PRADESH
Koratla S.O,505326,Delivery,Koratla,Karim Nagar,ANDHRA PRADESH
Mallial S.O,505452,Delivery,Mallial,Karim Nagar,ANDHRA PRADESH
Metpalli S.O,505325,Delivery,Metpalli,Karim Nagar,ANDHRA PRADESH
Tadoor S.O,505405,Delivery,Sirsilla,Karim Nagar,ANDHRA PRADESH
Damargidda S.O,509407,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Macherla S.O (Mahabub Nagar),509129,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Manavapad S.O,509128,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Undavelly S.O,509153,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Bhutpur S.O,509382,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Kulakcherla S.O,509335,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Musapet S.O,509380,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Narayanpet S.O,509210,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Utkur S.O,509311,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Devarkadra S.O,509204,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Rawulapally S.O,509336,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Alampur S.O (Mahabub Nagar),509152,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Amerchinta S.O,509130,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Atmakur So (A) S.O,509131,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Jaklair S.O,509353,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Koilkonda S.O,509371,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Kosgi S.O,509339,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Marrikal S.O,509351,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Muldakal S.O,509132,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Rajoli S.O (Mahabub Nagar),509126,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Gadwal H.O,509125,Delivery,Gadwal,Mahabub Nagar,ANDHRA PRADESH
Hunwada S.O,509334,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Nawabpet S.O (Mahabub Nagar),509340,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Ieeja S.O,509127,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Maddur S.O (Mahabub Nagar),509411,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Mahabubnagar H.O,509001,Delivery,Mahabubnagar H.o,Mahabub Nagar,ANDHRA PRADESH
Uppal Camp S.O,509135,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Dhanwada S.O,509205,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Kodangal S.O,509338,Delivery,Kodangal,Mahabub Nagar,ANDHRA PRADESH
Koukuntla S.O,509219,Delivery,Devarkadra,Mahabub Nagar,ANDHRA PRADESH
Krishna S.O,509352,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Mohammadabad S.O,509337,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Husnabad S.O (Mahabub Nagar),509350,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Lalkot S.O,509409,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Makthal S.O,509208,Delivery,NA,Mahabub Nagar,ANDHRA PRADESH
Kodurkurd S.O,502276,Delivery,NA,Medak,ANDHRA PRADESH
Masaipet S.O,502335,Delivery,NA,Medak,ANDHRA PRADESH
Medak H.O,502110,Delivery,Medak,Medak,ANDHRA PRADESH
Palamakula S.O,502375,Delivery,NA,Medak,ANDHRA PRADESH
Pamulaparthy S.O,502279,Delivery,NA,Medak,ANDHRA PRADESH
Tekmal S.O,502302,Delivery,NA,Medak,ANDHRA PRADESH
Toopran S.O,502334,Delivery,NA,Medak,ANDHRA PRADESH
Nangnoor S.O,502280,Delivery,NA,Medak,ANDHRA PRADESH
Narsingee S.O,502248,Delivery,NA,Medak,ANDHRA PRADESH
Rajpally S.O,502117,Delivery,Medak,Medak,ANDHRA PRADESH
Rangampet S.O,502381,Delivery,NA,Medak,ANDHRA PRADESH
Gujvail S.O,502278,Delivery,Gujvail,Medak,ANDHRA PRADESH
Kuknoorpally S.O,502301,Delivery,NA,Medak,ANDHRA PRADESH
Nizampet S.O (Medak),502102,Delivery,NA,Medak,ANDHRA PRADESH
Podichanpally S.O,502125,Delivery,NA,Medak,ANDHRA PRADESH
Pullur S.O,502107,Delivery,NA,Medak,ANDHRA PRADESH
Siddipet H.O,502103,Delivery,Siddipet,Medak,ANDHRA PRADESH
Akkannapet S.O,502115,Delivery,NA,Medak,ANDHRA PRADESH
Dubbak S.O,502108,Delivery,Dubbak,Medak,ANDHRA PRADESH
Kadlakal S.O,502336,Delivery,NA,Medak,ANDHRA PRADESH
Machavaram S.O (Medak),502109,Delivery,Medak,Medak,ANDHRA PRADESH
Ramayampet S.O,502101,Delivery,NA,Medak,ANDHRA PRADESH
Allipur S.O (Medak),502310,Delivery,NA,Medak,ANDHRA PRADESH
Haveli Ghanpur S.O,502113,Delivery,Medak,Medak,ANDHRA PRADESH
Irkode S.O,502114,Delivery,NA,Medak,ANDHRA PRADESH
Ibrahimnagar S.O,502267,Delivery,NA,Medak,ANDHRA PRADESH
Chegunta S.O,502255,Delivery,NA,Medak,ANDHRA PRADESH
Duddeda S.O,502277,Delivery,NA,Medak,ANDHRA PRADESH
Kondapak S.O,502372,Delivery,NA,Medak,ANDHRA PRADESH
Kuchanpally S.O,502130,Delivery,Medak,Medak,ANDHRA PRADESH
Makkarajpet S.O,502247,Delivery,NA,Medak,ANDHRA PRADESH
Papannapet S.O,502303,Delivery,Papannapet,Medak,ANDHRA PRADESH
Pregnapur S.O,502311,Delivery,NA,Medak,ANDHRA PRADESH
Yousufpet S.O,502331,Delivery,NA,Medak,ANDHRA PRADESH
Jagadevpur S.O,502281,Delivery,Gujvail,Medak,ANDHRA PRADESH
Kodakandla S.O,502312,Delivery,NA,Medak,ANDHRA PRADESH
Chandur S.O (Nalgonda),508255,Delivery,Chandur,Nalgonda,ANDHRA PRADESH
Choutupala S.O,508252,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Dindi Project S.O,508258,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Narayanpur S.O (Nalgonda),508253,Delivery,Narayanapur,Nalgonda,ANDHRA PRADESH
Alair S.O,508101,Delivery,Alair,Nalgonda,ANDHRA PRADESH
Raghunathpur S.O (Nalgonda),508105,Delivery,Bhongir,Nalgonda,ANDHRA PRADESH
Athmakur S.O,508111,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Bhongir H.O,508116,Delivery,Bhongiri,Nalgonda,ANDHRA PRADESH
Chinthapalli S.O,508250,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Chityala S.O,508114,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Halia S.O,508377,Delivery,Anumula,Nalgonda,ANDHRA PRADESH
Hill Colony S.O,508202,Delivery,Anumula,Nalgonda,ANDHRA PRADESH
Nampalli S.O,508373,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Kondamallepalli S.O,508243,Delivery,Pedda Adiserla Palle,Nalgonda,ANDHRA PRADESH
Marriguda S.O,508245,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Munugode S.O,508244,Delivery,Munugode,Nalgonda,ANDHRA PRADESH
Slbc S.O,508004,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Yadgarpalli S.O,508115,Delivery,Yadagarigutta,Nalgonda,ANDHRA PRADESH
Mothcore S.O,508277,Delivery,Mothkur,Nalgonda,ANDHRA PRADESH
Nalgonda H.O,508001,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Narketpalli S.O,508254,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Valigonda S.O,508112,Delivery,Valigonda,Nalgonda,ANDHRA PRADESH
Bibinagar S.O,508126,Delivery,Bhongir,Nalgonda,ANDHRA PRADESH
Gudipalli S.O,508257,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Pochampalli S.O (Nalgonda),508284,Delivery,Pochampalle,Nalgonda,ANDHRA PRADESH
Tekula Somaram S.O,508285,Delivery,Bhongir,Nalgonda,ANDHRA PRADESH
Pedavoora S.O,508266,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Deverkonda S.O,508248,Delivery,Devarakonda,Nalgonda,ANDHRA PRADESH
Koppole S.O,508256,Delivery,Nalgonda,Nalgonda,ANDHRA PRADESH
Ramannnapeta S.O,508113,Delivery,Ramannapeta So,Nalgonda,ANDHRA PRADESH
Wangapalli S.O,508286,Delivery,Bhongir,Nalgonda,ANDHRA PRADESH
Bhimgal S.O,503307,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Indalwai RS S.O,503164,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Kammarpalli S.O,503308,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Mosra S.O,503206,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Nizamabad H.O,503001,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Rajampet S.O,503110,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
APSP Camp S.O (Nizamabad),503174,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Balkonda S.O,503217,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Bibipet S.O,503125,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Jukkal S.O,503305,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Kissannagar S.O,503218,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Lingampet S.O,503124,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Makloor S.O,503213,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Ramareddy S.O,503144,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Sarangapur S.O,503186,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Yellareddy S.O,503122,Delivery,Yellareddy,Nizamabad,ANDHRA PRADESH
Dharmaram S.O (Nizamabad),503230,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Edapalli S.O,503202,Delivery,Yedpalle,Nizamabad,ANDHRA PRADESH
Jannepalli S.O,503246,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Navipet S.O,503245,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Nizamsagar S.O,503302,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Gandhari S.O,503114,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Mirzapur S.O (Nizamabad),503301,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Sadasivanagar S.O,503145,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Varni S.O,503201,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Subhashnagar S.O (Nizamabad),503002,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Telangana University S.O,503322,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Vailpur S.O,503311,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Birkur S.O,503321,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Dichpalli RS S.O,503175,Delivery,Dichpalle,Nizamabad,ANDHRA PRADESH
Kamareddy H.O,503111,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Kotgir S.O,503207,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Nandipet S.O,503212,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Nizamabad RS S.O,503003,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Pitlam S.O,503310,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Rudrur S.O,503188,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Ambam S.O,503235,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Armoor H.O,503224,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Bhiknoor S.O,503101,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Bichkunda S.O,503306,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Jangampalli S.O,503102,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Modtad S.O,503225,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Sriramsagar Project S.O,503219,Delivery,Armoor,Nizamabad,ANDHRA PRADESH
Yerrapahad S.O,503120,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Banswada S.O,503187,Delivery,Banswada,Nizamabad,ANDHRA PRADESH
Bodhan S.O (Nizamabad),503185,Delivery,Bodhan,Nizamabad,ANDHRA PRADESH
Darpalli S.O,503165,Delivery,Dharpalle,Nizamabad,ANDHRA PRADESH
Domakonda S.O,503123,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Madnoor S.O,503309,Delivery,Madnoor,Nizamabad,ANDHRA PRADESH
Nagireddypet S.O,503108,Delivery,Kamareddy,Nizamabad,ANDHRA PRADESH
Shakkarnagar S.O,503180,Delivery,Nizamabad,Nizamabad,ANDHRA PRADESH
Garepalli S.O,505186,Delivery,Sultanabad,Karim Nagar,ANDHRA PRADESH
Jammikunta S.O,505122,Delivery,Jammikunta,Karim Nagar,ANDHRA PRADESH
Molangur S.O,505470,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Pp Colony S.O,505174,Delivery,Peddapalli,Karim Nagar,ANDHRA PRADESH
Anthergan Textiles S.O,505514,Delivery,Ramagundam,Karim Nagar,ANDHRA PRADESH
Centinary Colony S.O,505212,Delivery,Kamanpur,Karim Nagar,ANDHRA PRADESH
Eligaid S.O,505525,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Ramagundam S.O,505208,Delivery,Ramagundam,Karim Nagar,ANDHRA PRADESH
Saidapur S.O (Karim Nagar),505472,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Sultanabad S.O,505185,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Jyothinagar S.O (Karim Nagar),505215,Delivery,Ramagundam,Karim Nagar,ANDHRA PRADESH
Kakathiya Canal Campus S.O,505498,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Kalvasrirampur S.O,505153,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Kamanpur S.O,505188,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Tadikal S.O,505474,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Vangara S.O,505480,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Yelkathurthi S.O,505476,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Kataram S.O,505503,Delivery,Manthani,Karim Nagar,ANDHRA PRADESH
Medaram S.O,505416,Delivery,Peddapalli,Karim Nagar,ANDHRA PRADESH
Peddapalli H.O,505172,Delivery,Peddapalli,Karim Nagar,ANDHRA PRADESH
Fertilizercity S.O,505210,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Keshavapatnam S.O,505490,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Kolanur S.O,505162,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Mulkanur S.O,505471,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Mahadevpur S.O (Karim Nagar),505504,Delivery,Manthani,Karim Nagar,ANDHRA PRADESH
Manthani S.O,505184,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Vavilala S.O,505475,Delivery,NA,Karim Nagar,ANDHRA PRADESH
Veenavanka S.O,505502,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Bheemadevarapally S.O,505497,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Kamalapur S.O (Karim Nagar),505102,Delivery,Huzurabad,Karim Nagar,ANDHRA PRADESH
Vittalanagar S.O,505214,Delivery,Peddapalli,Karim Nagar,ANDHRA PRADESH
Basanthnagar S.O,505187,Delivery,Peddapalli,Karim Nagar,ANDHRA PRADESH
